Validation_Set,Topics,Alpha,Beta,Coherence
bla,10,no,no,0.4814481592719376
bla,11,no,no,0.46821130856680393
bla,12,no,no,0.4735753392219608
bla,13,no,no,0.4797857694574094
bla,14,no,no,0.49479646170597275
bla,15,no,no,0.49118848890462447
bla,16,no,no,0.4864493755703289
bla,17,no,no,0.48496873946309926
bla,18,no,no,0.5009906888030362
bla,19,no,no,0.50679160623646
bla,20,no,no,0.49269481570883233
bla,21,no,no,0.5038394260649026
bla,22,no,no,0.5044420191453534
bla,23,no,no,0.5072104858146463
bla,24,no,no,0.5073257575989664
bla,25,no,no,0.5091834051175155
bla,26,no,no,0.5000349224404966
bla,27,no,no,0.49347878031143083
bla,28,no,no,0.5068387279588815
bla,29,no,no,0.5019353189817465
